Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C10, C11, C14, C2, C3, C4, C48, C49, C50, C51, C52, C53, C6, C74",0402,15,100nF,
"C12, C22, C23, C24, C25, C56, C65, C66, C7, C75, C9",0402,11,1uF,
"C13, C15, C57, C69",0402,4,4.7uF,
"C16, C19",0402,2,3.9nF,
"C17, C27",0603,2,3.6nF,
"C18, C73",0402,2,68nF,
C20,0402,1,0.8pF,
C21,0402,1,0.3pF,
C26,0402,1,1nF,
"C28, C43",0402,2,470pF,
"C29, C30, C32, C33, C35, C36, C72",0402,7,120pF,
"C31, C44, C55, C59, C60, C61, C62, C70, C71",0402,9,10uF,
C34,0402,1,560pF,
"C37, C38",0603,2,1uF,
C39,0402,1,33pF,
"C40, C41",0603,2,100nF,
C42,0402,1,220pF,
C45,0402,1,22uF,
C5,0402,1,4.7pF,
C58,0402,1,47nF,
"C63, C67, C68",0402,3,2.2uF,
C64,0402,1,470nF,
C8,0402,1,10nF,
D1,D_SOD-523,1,1N4148WT,
"D10, D11, D5, D6, D7, D8, D9",D_SOD-323F,7,BAT54J,
D12,SOT-323_SC-70,1,BAT54SW,
"D3, D4",D_SOD-323_TVS,2,PESD15VL1BA,
"FB1, FB2, FB3, FB4, FB5",0603,5,100R,
FL2,FILTER-SMD_6P-L1.6-W1.0-P0.50-BL,1,MLPF-WB55-01E3,C2651048
"J2, J3, J4",Hirose_FH12-26S-0.5SH_1x26-1MP_P0.50mm_Horizontal,3,Conn_01x26_MountingPin,C262277
J5,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,Conn_01x03,C263754
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,~,
L1,0603,1,10uH,
L4,0603,1,1uH,
"L5, L6",0603,2,470nH,
L7,0603,1,60R / Short, C85834
L8,FILTER-SMD_4P-L0.9-W0.7-P0.50-BL,1,EXC14CE900U,C178761
L9,L_Murata_DFE201610P,1,470nH,C882980
"Q1, Q2, Q3",SOT-23,3,AO3400A,
Q4,SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR,1,~,C155524
Q5,SOT-363_L2.0-W1.3-P0.65-LS2.1-BL,1,~,C460232
Q6,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,~,C177033
"R1, R2",0402,2,5.1K,
"R10, R11, R15, R21, R25, R29, R34, R36, R40, R41, R50, R9",0402,12,10K,
"R12, R14, R16, R23",0402,4,1K,
"R13, R51",0402,2,400,
"R17, R19, R22, R26",0402,4,12K,
R18,0402,1,0,
R20,0402,1,560,
R24,0402,1,200,
"R27, R30, R35",0402,3,100,
R28,0402,1,15k,
"R31, R32",0402,2,1.5K,
R33,0402,1,4.7K,
R37,0402,1,470,
R38,0402,1,30.1K,
R39,0402,1,5.23K,
R42,R2512,1,WW25WR010FTL,C171418
R43,0402,1,DNP,
"R44, R45",0402,2,1.5,
"R46, R47",0402,2,3.3,
"R48, R49",0402,2,100K,
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,C318938
SW3,KEY-SMD_SKRTLAE010,1,SKRTLAE010,C110293
"TP1, TP2, TP3",TestPoint_Pad_1.5x1.5mm,3,TestPoint,
U1,QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm,1,STM32WB55RGV6,
"U10, U11, U12, U7, U8, U9",TSSOP-16_4.4x5mm_P0.65mm,6,74HC4051,
U13,SC-70-5_L2.1-W1.3-P0.65-LS2.1-TL,1,SN74LV1T125DCKR,C75925
U14,SOT-666,1,USBLC6-2P6,
U15,WLCSP-9_L1.2-W1.2-R3-C3-P0.40-BL,1,FAN48610BUC50X,C890711
U16,UTDFN-4_L1.0-W1.0-P0.63-BL-EP-1,1,RS3221-3.3YUTDN4,C2924279
U2,QFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,~,C181475
U4,DSBGA-9_L1.7-W1.6-R3-C3-P0.50-BL,1,~,C528617
U5,DSBGA-6_L1.4-W1.1-R3-C2-P0.40-BL,1,~,C2070970
U6,TSSOP-14_4.4x5mm_P0.65mm,1,COS8054TR,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,XL7EL89CKI-111YLC-32M,C2965582
X2,FC-12M_L2.0-W1.2,1,FC-12M32.768KHZ7PF20PPM,C99009
